"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Product Image ID - 15","Product Image File - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Sort - 15","Search Keywords","Page Title","Meta Keywords","Meta Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,146,"Bathroom Humor Block",P,,,"Wooden Block",,Right,"<p>3.5 x 3.5 x 3.5 Wooden Block</p>",22.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/Block Signs ;Wood Projects/3.5"" Wooden Block",384,u/895/IMG_6848__27516.jpg,"men women round sign",N,0,385,p/483/IMG_6849__78086.jpg,"a clean bowl is our goal",N,1,386,a/713/IMG_6847__59028.jpg,"sh*ts about to go down, toilet, bricks",N,2,613,s/976/IMG_9211__15413.JPG,"If at first you don't succeed flush flush again",N,3,614,i/936/IMG_9212__23718.JPG,"Its about to go Down",N,4,615,w/230/IMG_9213__92387.JPG,"Get naked just kidding this is a half bath don't make it weird",N,5,2251,l/155/IMG_9471__41444.jpg,"Dont Hog the Bathroom",Y,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.5 x 3.5 x 3.5 Wooden Blocks (3)",,,New,N,0,"Default Tax Class",,N,/1-97-x-1-97-x-1-97-wooden-blocks-3/,,,,,,,,,,,,N,,
Product,150,"10 x 10 Wood with Burlap Sign",P,,,,,Right,,32.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/One Piece Signs/Easter",379,i/761/IMG_6163__92894.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10 x 10 Wood with Burlap Sign",,,New,N,0,"Default Tax Class",,N,/10-x-10-wood-with-burlap-sign/,,,,,,,,,,,,N,,
Product,151,"12 x 12 Wood with Burlap Sign",P,,,,,Right,,36.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/One Piece Signs/Easter",378,i/644/IMG_6166__88749.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10 x 10 Wood with Burlap Sign",,,New,N,0,"Default Tax Class",,N,/12-x-12-wood-with-burlap-sign/,,,,,,,,,,,,N,,
Product,175,"On Beach Time Metal Laser",P,,,"Metal Word Signs",,Right,"<p><font style=""background-color: #ffffff;"">10 x 12 Planked Sign</font></p>",20.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/Metal Laser Signs",412,u/310/IMG_7686__75251.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On Beach Time Metal Laser",,,New,N,0,"Default Tax Class",,N,/10-x-12-planked-sign/,,,,,,,,,,,,N,,
Product,176,"Prayers Go Up, Blessings Come Down Metal Laser",P,,,"Metal Word Signs",,Right,"<p><font style=""background-color: #ffffff;"">6 x 17 Planked Sign</font></p>",20.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/Metal Laser Signs",410,f/852/IMG_7688__52040.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prayers Go Up, Blessings Come Down Metal Laser",,,New,N,0,"Default Tax Class",,N,/6-x-17-planked-sign/,,,,,,,,,,,,N,,
Product,177,"It Never Gets Easier, You Just Get Better Metal Laser",P,,,"Metal Word Signs",,Right,"<p><font style=""background-color: #ffffff;"">12 x 12 Planked Sign</font></p>",27.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/Metal Laser Signs",411,k/510/IMG_7658__11692.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It Never Gets Easier, You Just Get Better Metal Laser",,,New,N,0,"Default Tax Class",,N,/12-x-12-planked-sign/,,,,,,,,,,,,N,,
Product,178,"It's a Good Day to Have a Good Day Metal Laser",P,,,"Metal Word Signs",,Right,"<p><font style=""background-color: #ffffff;"">18 x 18 Planked Sign or 18 x 20 Planked Sign</font></p>",30.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/Metal Laser Signs",432,f/804/Metal_Good_Day_18x18__04362.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's a Good Day to Have a Good Day Metal Laser",,,New,N,0,"Default Tax Class",,N,/18-x-18-planked-sign/,,,,,,,,,,,,N,,
Product,179,"We're Just a Big Happy Family Metal Laser",P,,,"Metal Word Signs",,Right,"<p><font style=""background-color: #ffffff;"">&nbsp;20 x 20 Planked Sign</font></p>",30.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/Metal Laser Signs",433,h/459/Metal_Happy_Family_20x20__11651.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We're Just a Big Happy Family Metal Laser",,,New,N,0,"Default Tax Class",,N,/20-x-20-planked-sign/,,,,,,,,,,,,N,,
Product,180,"Thankful & Blessed Metal Laser",P,,,"Metal Word Signs",,Right,"<p>5 1/2 x 21 metal laser sign</p>",20.00,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Wood Projects/Metal Laser Signs",416,t/895/IMG_7690__69196.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thankful & Blessed Metal Laser",,,New,N,0,"Default Tax Class",,N,/thankful-blessed/,,,,,,,,,,,,N,,
"  SKU",239,"[S]Lumber Type=Pallet",,180-PA,,,,,,,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
