"Product ID","Product Type",Code,Name,Brand,Description,"Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping",Warranty,Weight,Width,Height,Depth,"Allow Purchases","Product Visible","Product Availability","Product Inventoried","Stock Level","Low Stock Level","Date Added","Date Modified","Category Details",Images,"Page Title","META Keywords","META Description","Product Condition","Product URL","Redirect Old URL?","Product Tax Code","Product Custom Fields"
146,P,,"Bathroom Humor Block","Wooden Block","3.5 x 3.5 x 3.5 Wooden Block",0.00,0.00,0.00,22.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,07/05/2020,07/01/2022,"Category Name: Block Signs , Category Path: Wood Projects/Block Signs |Category Name: 3.5"" Wooden Block, Category Path: Wood Projects/3.5"" Wooden Block","Product Image File: IMG_6848__27516.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/u/895/IMG_6848__27516.jpg|Product Image File: IMG_6849__78086.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/p/483/IMG_6849__78086.jpg|Product Image File: IMG_6847__59028.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/a/713/IMG_6847__59028.jpg|Product Image File: IMG_9211__15413.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/s/976/IMG_9211__15413.JPG|Product Image File: IMG_9212__23718.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/936/IMG_9212__23718.JPG|Product Image File: IMG_9213__92387.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/w/230/IMG_9213__92387.JPG|Product Image File: IMG_9471__41444.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/l/155/IMG_9471__41444.jpg","3.5 x 3.5 x 3.5 Wooden Blocks (3)",,,New,/1-97-x-1-97-x-1-97-wooden-blocks-3/,,,
150,P,,"10 x 10 Wood with Burlap Sign",,,0.00,0.00,0.00,32.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,07/05/2020,22/02/2022,"Category Name: Easter, Category Path: Wood Projects/One Piece Signs/Easter","Product Image File: IMG_6163__92894.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/761/IMG_6163__92894.jpg","10 x 10 Wood with Burlap Sign",,,New,/10-x-10-wood-with-burlap-sign/,,,
151,P,,"12 x 12 Wood with Burlap Sign",,,0.00,0.00,0.00,36.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,07/05/2020,31/12/2021,"Category Name: Easter, Category Path: Wood Projects/One Piece Signs/Easter","Product Image File: IMG_6166__88749.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/644/IMG_6166__88749.jpg","10 x 10 Wood with Burlap Sign",,,New,/12-x-12-wood-with-burlap-sign/,,,
175,P,,"On Beach Time Metal Laser","Metal Word Signs","10 x 12 Planked Sign",0.00,0.00,0.00,20.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,28/06/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: IMG_7686__75251.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/u/310/IMG_7686__75251.jpg","On Beach Time Metal Laser",,,New,/10-x-12-planked-sign/,,,
176,P,,"Prayers Go Up, Blessings Come Down Metal Laser","Metal Word Signs","6 x 17 Planked Sign",0.00,0.00,0.00,20.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,28/06/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: IMG_7688__52040.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/f/852/IMG_7688__52040.jpg","Prayers Go Up, Blessings Come Down Metal Laser",,,New,/6-x-17-planked-sign/,,,
177,P,,"It Never Gets Easier, You Just Get Better Metal Laser","Metal Word Signs","12 x 12 Planked Sign",0.00,0.00,0.00,27.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,28/06/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: IMG_7658__11692.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/k/510/IMG_7658__11692.jpg","It Never Gets Easier, You Just Get Better Metal Laser",,,New,/12-x-12-planked-sign/,,,
178,P,,"It's a Good Day to Have a Good Day Metal Laser","Metal Word Signs","18 x 18 Planked Sign or 18 x 20 Planked Sign",0.00,0.00,0.00,30.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,28/06/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: Metal_Good_Day_18x18__04362.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/f/804/Metal_Good_Day_18x18__04362.jpg","It's a Good Day to Have a Good Day Metal Laser",,,New,/18-x-18-planked-sign/,,,
179,P,,"We're Just a Big Happy Family Metal Laser","Metal Word Signs"," 20 x 20 Planked Sign",0.00,0.00,0.00,30.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,28/06/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: Metal_Happy_Family_20x20__11651.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/h/459/Metal_Happy_Family_20x20__11651.jpg","We're Just a Big Happy Family Metal Laser",,,New,/20-x-20-planked-sign/,,,
180,P,,"Thankful & Blessed Metal Laser","Metal Word Signs","5 1/2 x 21 metal laser sign",0.00,0.00,0.00,20.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,28/06/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: IMG_7690__69196.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/t/895/IMG_7690__69196.jpg","Thankful & Blessed Metal Laser",,,New,/thankful-blessed/,,,
181,P,,"Beautiful Metal Laser","Metal Word Signs","5 1/2 x 21 metal laser sign",0.00,0.00,0.00,20.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,29/06/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: Metal_Beautiful__89900.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/659/Metal_Beautiful__89900.jpg","Thankful & Blessed Metal Laser",,,New,/beautiful-metal-laser/,,,
