"Item Type","Product ID","Product SKU","Product Name","Category String",Weight,Description,Price,"Retail Price","Sale Price","Cost Price","Calculated Price","Sort Order","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Minimum Purchase Quantity","Maximum Purchase Quantity","Brand + Name",Brand,"Product UPC/EAN","Product Tax Class","Search Keywords","Page Title","Meta Keywords","Meta Description","Product URL","Redirect Old URL?","Option Set","Option Set Align","Stop Processing Rules","Product Custom Fields","Product Images","Category Details","Product Type","Product Files","Shipping Groups","Event Date Required","Event Date Name","Event Date Is Limited","Event Date Start Date","Event Date End Date","GPS Category","GPS Enabled","GPS Custom Item","Date Added","Date Modified"
Product,146,,"Bathroom Humor Block","Wood Projects/Block Signs ;Wood Projects/3.5"" Wooden Block",0.0000,"<p>3.5 x 3.5 x 3.5 Wooden Block</p>",22.00,0.00,0.00,0.00,22.00,0,0,1,1,,0,0,"Wooden Block  Bathroom Humor Block","Wooden Block",,"Default Tax Class",,"3.5 x 3.5 x 3.5 Wooden Blocks (3)",,,/1-97-x-1-97-x-1-97-wooden-blocks-3/,,,Right,0,,"Product Image ID: 384, Product Image File: IMG_6848__27516.jpg, Product Image Path: u/895/IMG_6848__27516.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/u/895/IMG_6848__27516.jpg, Product Image Description: men women round sign, Product Image Is Thumbnail: 0, Product Image Index: 0/Product Image ID: 385, Product Image File: IMG_6849__78086.jpg, Product Image Path: p/483/IMG_6849__78086.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/p/483/IMG_6849__78086.jpg, Product Image Description: a clean bowl is our goal, Product Image Is Thumbnail: 0, Product Image Index: 1/Product Image ID: 386, Product Image File: IMG_6847__59028.jpg, Product Image Path: a/713/IMG_6847__59028.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/a/713/IMG_6847__59028.jpg, Product Image Description: sh*ts about to go down, toilet, bricks, Product Image Is Thumbnail: 0, Product Image Index: 2/Product Image ID: 613, Product Image File: IMG_9211__15413.JPG, Product Image Path: s/976/IMG_9211__15413.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/s/976/IMG_9211__15413.JPG, Product Image Description: If at first you don't succeed flush flush again, Product Image Is Thumbnail: 0, Product Image Index: 3/Product Image ID: 614, Product Image File: IMG_9212__23718.JPG, Product Image Path: i/936/IMG_9212__23718.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/936/IMG_9212__23718.JPG, Product Image Description: Its about to go Down, Product Image Is Thumbnail: 0, Product Image Index: 4/Product Image ID: 615, Product Image File: IMG_9213__92387.JPG, Product Image Path: w/230/IMG_9213__92387.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/w/230/IMG_9213__92387.JPG, Product Image Description: Get naked just kidding this is a half bath don't make it weird, Product Image Is Thumbnail: 0, Product Image Index: 5/Product Image ID: 2251, Product Image File: IMG_9471__41444.jpg, Product Image Path: l/155/IMG_9471__41444.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/l/155/IMG_9471__41444.jpg, Product Image Description: Dont Hog the Bathroom, Product Image Is Thumbnail: 1, Product Image Index: 6","Category ID: 565, Category Name: Block Signs , Category Path: Wood Projects/Block Signs /Category ID: 604, Category Name: 3.5"" Wooden Block, Category Path: Wood Projects/3.5"" Wooden Block",P,,,0,,0,,,,0,0,05/07/2020,01/07/2022

Product,150,,"10 x 10 Wood with Burlap Sign","Wood Projects/One Piece Signs/Easter",0.0000,,32.00,0.00,0.00,0.00,32.00,0,0,1,1,,0,0," 10 x 10 Wood with Burlap Sign",,,"Default Tax Class",,"10 x 10 Wood with Burlap Sign",,,/10-x-10-wood-with-burlap-sign/,,,Right,0,,"Product Image ID: 379, Product Image File: IMG_6163__92894.jpg, Product Image Path: i/761/IMG_6163__92894.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/761/IMG_6163__92894.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 851, Category Name: Easter, Category Path: Wood Projects/One Piece Signs/Easter",P,,,0,,0,,,,0,0,05/07/2020,02/22/2022

Product,151,,"12 x 12 Wood with Burlap Sign","Wood Projects/One Piece Signs/Easter",0.0000,,36.00,0.00,0.00,0.00,36.00,0,0,1,1,,0,0," 12 x 12 Wood with Burlap Sign",,,"Default Tax Class",,"10 x 10 Wood with Burlap Sign",,,/12-x-12-wood-with-burlap-sign/,,,Right,0,,"Product Image ID: 378, Product Image File: IMG_6166__88749.jpg, Product Image Path: i/644/IMG_6166__88749.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/644/IMG_6166__88749.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 851, Category Name: Easter, Category Path: Wood Projects/One Piece Signs/Easter",P,,,0,,0,,,,0,0,05/07/2020,12/31/2021

Product,175,,"On Beach Time Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">10 x 12 Planked Sign</font></p>",20.00,0.00,0.00,0.00,20.00,0,0,1,1,,0,0,"Metal Word Signs  On Beach Time Metal Laser","Metal Word Signs",,"Default Tax Class",,"On Beach Time Metal Laser",,,/10-x-12-planked-sign/,,,Right,0,,"Product Image ID: 412, Product Image File: IMG_7686__75251.jpg, Product Image Path: u/310/IMG_7686__75251.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/u/310/IMG_7686__75251.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,06/28/2020,07/22/2021

Product,176,,"Prayers Go Up, Blessings Come Down Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">6 x 17 Planked Sign</font></p>",20.00,0.00,0.00,0.00,20.00,0,0,1,1,,0,0,"Metal Word Signs  Prayers Go Up, Blessings Come Down Metal Laser","Metal Word Signs",,"Default Tax Class",,"Prayers Go Up, Blessings Come Down Metal Laser",,,/6-x-17-planked-sign/,,,Right,0,,"Product Image ID: 410, Product Image File: IMG_7688__52040.jpg, Product Image Path: f/852/IMG_7688__52040.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/f/852/IMG_7688__52040.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,06/28/2020,07/22/2021

