"Item Type","Product ID","Product SKU","Product Name","Category String",Weight,Description,Price,"Retail Price","Sale Price","Cost Price","Calculated Price","Stock Level","Low Stock Level","Track Inventory","Product Inventoried","Sort Order","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Minimum Purchase Quantity","Maximum Purchase Quantity","Free Shipping","Fixed Shipping Price",Width,Height,Depth,"Brand + Name",Brand,Warranty,"Bin Picking Number","Product Condition","Show Product Condition","Product UPC/EAN","Product Tax Class","Tax Provider Tax Code","Search Keywords","Page Title","Meta Keywords","Meta Description","Product URL","Redirect Old URL?","Option Set","Option Set Align","Stop Processing Rules","Product Custom Fields","Product Image ID - 1","Product Image File - 1","Product Image Path - 1","Product Image URL - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Index - 1","Product Image ID - 2","Product Image File - 2","Product Image Path - 2","Product Image URL - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Index - 2","Product Image ID - 3","Product Image File - 3","Product Image Path - 3","Product Image URL - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Index - 3","Product Image ID - 4","Product Image File - 4","Product Image Path - 4","Product Image URL - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Index - 4","Product Image ID - 5","Product Image File - 5","Product Image Path - 5","Product Image URL - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Index - 5","Product Image ID - 6","Product Image File - 6","Product Image Path - 6","Product Image URL - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Index - 6","Product Image ID - 7","Product Image File - 7","Product Image Path - 7","Product Image URL - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Index - 7","Product Image ID - 8","Product Image File - 8","Product Image Path - 8","Product Image URL - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Index - 8","Product Image ID - 9","Product Image File - 9","Product Image Path - 9","Product Image URL - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Index - 9","Product Image ID - 10","Product Image File - 10","Product Image Path - 10","Product Image URL - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Index - 10","Product Image ID - 11","Product Image File - 11","Product Image Path - 11","Product Image URL - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Index - 11","Product Image ID - 12","Product Image File - 12","Product Image Path - 12","Product Image URL - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Index - 12","Product Image ID - 13","Product Image File - 13","Product Image Path - 13","Product Image URL - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Index - 13","Product Image ID - 14","Product Image File - 14","Product Image Path - 14","Product Image URL - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Index - 14","Product Image ID - 15","Product Image File - 15","Product Image Path - 15","Product Image URL - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Index - 15","Category ID - 1","Category Name - 1","Category Path - 1","Category ID - 2","Category Name - 2","Category Path - 2","Category ID - 3","Category Name - 3","Category Path - 3","Category ID - 4","Category Name - 4","Category Path - 4","Category ID - 5","Category Name - 5","Category Path - 5","Category ID - 6","Category Name - 6","Category Path - 6","Category ID - 7","Category Name - 7","Category Path - 7","Category ID - 8","Category Name - 8","Category Path - 8","Category ID - 9","Category Name - 9","Category Path - 9","Category ID - 10","Category Name - 10","Category Path - 10","Category ID - 11","Category Name - 11","Category Path - 11","Category ID - 12","Category Name - 12","Category Path - 12","Category ID - 13","Category Name - 13","Category Path - 13","Category ID - 14","Category Name - 14","Category Path - 14","Product Type","Shipping Groups","Origin Locations","Dimensional Rules","Event Date Required","Event Date Name","Event Date Is Limited","Event Date Start Date","Event Date End Date","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","GPS Custom Item","Date Added","Date Modified"
Product,146,,"Bathroom Humor Block","Wood Projects/Block Signs ;Wood Projects/3.5"" Wooden Block",0.0000,"<p>3.5 x 3.5 x 3.5 Wooden Block</p>",22.00,0.00,0.00,0.00,22.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,"Wooden Block  Bathroom Humor Block","Wooden Block",,,New,0,,"Default Tax Class",,,"3.5 x 3.5 x 3.5 Wooden Blocks (3)",,,/1-97-x-1-97-x-1-97-wooden-blocks-3/,,,Right,0,,384,IMG_6848__27516.jpg,u/895/IMG_6848__27516.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/u/895/IMG_6848__27516.jpg,"men women round sign",0,0,385,IMG_6849__78086.jpg,p/483/IMG_6849__78086.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/p/483/IMG_6849__78086.jpg,"a clean bowl is our goal",0,1,386,IMG_6847__59028.jpg,a/713/IMG_6847__59028.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/a/713/IMG_6847__59028.jpg,"sh*ts about to go down, toilet, bricks",0,2,613,IMG_9211__15413.JPG,s/976/IMG_9211__15413.JPG,http://ez-peezie-crafts.mybigcommerce.com/product_images/s/976/IMG_9211__15413.JPG,"If at first you don't succeed flush flush again",0,3,614,IMG_9212__23718.JPG,i/936/IMG_9212__23718.JPG,http://ez-peezie-crafts.mybigcommerce.com/product_images/i/936/IMG_9212__23718.JPG,"Its about to go Down",0,4,615,IMG_9213__92387.JPG,w/230/IMG_9213__92387.JPG,http://ez-peezie-crafts.mybigcommerce.com/product_images/w/230/IMG_9213__92387.JPG,"Get naked just kidding this is a half bath don't make it weird",0,5,2251,IMG_9471__41444.jpg,l/155/IMG_9471__41444.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/l/155/IMG_9471__41444.jpg,"Dont Hog the Bathroom",1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,"Block Signs ","Wood Projects/Block Signs ",604,"3.5"" Wooden Block","Wood Projects/3.5"" Wooden Block",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,05/07/2020,01/07/2022
Product,150,,"10 x 10 Wood with Burlap Sign","Wood Projects/One Piece Signs/Easter",0.0000,,32.00,0.00,0.00,0.00,32.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000," 10 x 10 Wood with Burlap Sign",,,,New,0,,"Default Tax Class",,,"10 x 10 Wood with Burlap Sign",,,/10-x-10-wood-with-burlap-sign/,,,Right,0,,379,IMG_6163__92894.jpg,i/761/IMG_6163__92894.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/i/761/IMG_6163__92894.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,Easter,"Wood Projects/One Piece Signs/Easter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,05/07/2020,02/22/2022
Product,151,,"12 x 12 Wood with Burlap Sign","Wood Projects/One Piece Signs/Easter",0.0000,,36.00,0.00,0.00,0.00,36.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000," 12 x 12 Wood with Burlap Sign",,,,New,0,,"Default Tax Class",,,"10 x 10 Wood with Burlap Sign",,,/12-x-12-wood-with-burlap-sign/,,,Right,0,,378,IMG_6166__88749.jpg,i/644/IMG_6166__88749.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/i/644/IMG_6166__88749.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,Easter,"Wood Projects/One Piece Signs/Easter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,05/07/2020,12/31/2021
Product,175,,"On Beach Time Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">10 x 12 Planked Sign</font></p>",20.00,0.00,0.00,0.00,20.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,"Metal Word Signs  On Beach Time Metal Laser","Metal Word Signs",,,New,0,,"Default Tax Class",,,"On Beach Time Metal Laser",,,/10-x-12-planked-sign/,,,Right,0,,412,IMG_7686__75251.jpg,u/310/IMG_7686__75251.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/u/310/IMG_7686__75251.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,"Metal Laser Signs","Wood Projects/Metal Laser Signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,06/28/2020,07/22/2021
Product,176,,"Prayers Go Up, Blessings Come Down Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">6 x 17 Planked Sign</font></p>",20.00,0.00,0.00,0.00,20.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,"Metal Word Signs  Prayers Go Up, Blessings Come Down Metal Laser","Metal Word Signs",,,New,0,,"Default Tax Class",,,"Prayers Go Up, Blessings Come Down Metal Laser",,,/6-x-17-planked-sign/,,,Right,0,,410,IMG_7688__52040.jpg,f/852/IMG_7688__52040.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/f/852/IMG_7688__52040.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,"Metal Laser Signs","Wood Projects/Metal Laser Signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,06/28/2020,07/22/2021
Product,177,,"It Never Gets Easier, You Just Get Better Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">12 x 12 Planked Sign</font></p>",27.00,0.00,0.00,0.00,27.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,"Metal Word Signs  It Never Gets Easier, You Just Get Better Metal Laser","Metal Word Signs",,,New,0,,"Default Tax Class",,,"It Never Gets Easier, You Just Get Better Metal Laser",,,/12-x-12-planked-sign/,,,Right,0,,411,IMG_7658__11692.jpg,k/510/IMG_7658__11692.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/k/510/IMG_7658__11692.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,"Metal Laser Signs","Wood Projects/Metal Laser Signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,06/28/2020,07/22/2021
Product,178,,"It's a Good Day to Have a Good Day Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">18 x 18 Planked Sign or 18 x 20 Planked Sign</font></p>",30.00,0.00,0.00,0.00,30.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,"Metal Word Signs  It's a Good Day to Have a Good Day Metal Laser","Metal Word Signs",,,New,0,,"Default Tax Class",,,"It's a Good Day to Have a Good Day Metal Laser",,,/18-x-18-planked-sign/,,,Right,0,,432,Metal_Good_Day_18x18__04362.jpg,f/804/Metal_Good_Day_18x18__04362.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/f/804/Metal_Good_Day_18x18__04362.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,"Metal Laser Signs","Wood Projects/Metal Laser Signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,06/28/2020,07/22/2021
Product,179,,"We're Just a Big Happy Family Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">&nbsp;20 x 20 Planked Sign</font></p>",30.00,0.00,0.00,0.00,30.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,"Metal Word Signs  We're Just a Big Happy Family Metal Laser","Metal Word Signs",,,New,0,,"Default Tax Class",,,"We're Just a Big Happy Family Metal Laser",,,/20-x-20-planked-sign/,,,Right,0,,433,Metal_Happy_Family_20x20__11651.jpg,h/459/Metal_Happy_Family_20x20__11651.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/h/459/Metal_Happy_Family_20x20__11651.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,"Metal Laser Signs","Wood Projects/Metal Laser Signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,06/28/2020,07/22/2021
Product,180,,"Thankful & Blessed Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p>5 1/2 x 21 metal laser sign</p>",20.00,0.00,0.00,0.00,20.00,0,0,none,0,0,0,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,"Metal Word Signs  Thankful & Blessed Metal Laser","Metal Word Signs",,,New,0,,"Default Tax Class",,,"Thankful & Blessed Metal Laser",,,/thankful-blessed/,,,Right,0,,416,IMG_7690__69196.jpg,t/895/IMG_7690__69196.jpg,http://ez-peezie-crafts.mybigcommerce.com/product_images/t/895/IMG_7690__69196.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,"Metal Laser Signs","Wood Projects/Metal Laser Signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,0,,0,,,,,,,,,,,,,,,,0,0,06/28/2020,07/22/2021
"  SKU",239,180-PA,"[S]Lumber Type=Pallet",,,,,,,0.00,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
